carat,depth,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.32,60.5,58.0,4.43,4.49,2.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.24,62.9,60.0,6.8,6.74,4.26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.66,62.0,59.0,7.55,7.6,4.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.75,60.6,56.0,5.94,5.9,3.59,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,64.8,55.0,7.26,7.15,4.67,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.82,61.5,56.0,6.01,6.08,3.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.54,61.8,54.0,5.24,5.28,3.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.45,63.7,61.0,4.81,4.73,3.04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.31,63.2,57.0,4.3,4.27,2.71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,60.7,60.0,4.37,4.33,2.64,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.5,60.2,58.0,7.31,7.35,4.41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.53,60.8,57.0,5.24,5.29,3.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.0,63.6,57.0,6.35,6.26,4.01,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.81,62.3,55.0,5.97,6.0,3.73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.33,61.3,58.0,4.42,4.45,2.72,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.5,63.3,58.0,4.99,5.03,3.17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.58,60.9,57.0,5.39,5.46,3.3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.29,60.7,55.0,4.31,4.35,2.63,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.7,62.2,58.0,7.6,7.65,4.74,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.07,61.4,55.0,6.59,6.66,4.06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.42,62.0,55.0,4.85,4.83,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.5,61.5,58.0,7.38,7.32,4.52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2.01,62.1,60.0,8.1,8.03,5.01,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.43,58.3,62.0,4.97,4.91,2.88,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.57,61.8,55.0,7.47,7.51,4.63,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.5,62.4,58.0,5.06,5.01,3.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.52,61.6,57.0,5.2,5.15,3.19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.01,61.8,59.0,8.15,8.09,5.02,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.72,61.6,56.0,5.8,5.73,3.55,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,60.4,64.0,6.3,6.39,3.83,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.34,60.8,56.0,4.56,4.55,2.77,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
