carat,cut,color,clarity,depth,table,x,y,z,price,cut_encoded,color_encoded,clarity_encoded
0.3,Premium,D,SI2,62.4,58.0,4.31,4.28,2.68,6.353,1,5,0
1.01,Ideal,E,VVS2,62.7,56.0,6.42,6.46,4.04,9.183,4,6,5
0.72,Ideal,F,VS2,61.8,59.0,5.71,5.74,3.54,7.983,4,4,3
1.08,Very Good,G,SI2,63.2,57.0,6.54,6.5,4.12,8.371,3,3,0
0.36,Premium,G,VS1,62.3,59.0,4.5,4.55,2.82,6.588,1,3,4
0.53,Ideal,F,VS1,61.4,57.0,5.18,5.2,3.19,7.496,4,4,4
1.74,Premium,H,SI1,62.1,59.0,7.69,7.63,4.76,8.979,1,2,2
0.33,Ideal,E,VVS2,60.0,56.0,4.53,4.56,2.72,6.877,4,6,5
0.32,Very Good,E,VS2,62.9,56.0,4.36,4.39,2.75,6.554,3,6,3
0.27,Ideal,E,VVS2,61.8,57.0,4.16,4.12,2.56,6.683,4,6,5
0.63,Ideal,D,SI1,61.1,56.0,5.52,5.58,3.39,7.484,4,5,2
0.31,Ideal,G,VS2,61.4,56.0,4.34,4.37,2.67,6.353,4,3,3
0.53,Ideal,F,VS1,62.0,55.0,5.2,5.15,3.21,7.554,4,4,4
0.7,Very Good,H,VS1,62.2,57.0,5.67,5.72,3.54,7.671,3,2,4
0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,7.794,3,2,2
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,8.727,3,1,3
0.71,Ideal,D,SI1,62.0,55.0,5.71,5.76,3.56,8.087,4,5,2
0.32,Ideal,G,SI1,62.3,57.0,4.38,4.41,2.74,6.23,4,3,2
0.52,Ideal,G,VS1,61.6,56.0,5.18,5.22,3.2,7.451,4,3,4
0.42,Premium,G,VVS1,59.3,59.0,4.9,4.92,2.91,7.072,1,3,6
1.06,Premium,E,SI2,61.7,62.0,6.54,6.5,4.02,8.445,1,6,0
0.58,Ideal,I,VVS1,62.3,53.0,5.38,5.4,3.36,7.365,4,1,6
1.5,Fair,I,SI1,56.7,63.0,7.52,7.57,4.28,8.976,0,1,2
