carat,depth,table,x,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.3,62.4,58.0,4.31,6.353,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,62.7,56.0,6.42,9.183,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.72,61.8,59.0,5.71,7.983,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.08,63.2,57.0,6.54,8.371,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.36,62.3,59.0,4.5,6.588,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.53,61.4,57.0,5.18,7.496,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.74,62.1,59.0,7.69,8.979,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,60.0,56.0,4.53,6.877,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,62.9,56.0,4.36,6.554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.27,61.8,57.0,4.16,6.683,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.63,61.1,56.0,5.52,7.484,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,61.4,56.0,4.34,6.353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.53,62.0,55.0,5.2,7.554,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.7,62.2,57.0,5.67,7.671,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.74,62.4,58.0,5.71,7.794,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
