carat,depth,table,x,y,z,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.3,62.4,58.0,4.31,4.28,2.68,6.353,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.01,62.7,56.0,6.42,6.46,4.04,9.183,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.72,61.8,59.0,5.71,5.74,3.54,7.983,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.08,63.2,57.0,6.54,6.5,4.12,8.371,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.36,62.3,59.0,4.5,4.55,2.82,6.588,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.53,61.4,57.0,5.18,5.2,3.19,7.496,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.74,62.1,59.0,7.69,7.63,4.76,8.979,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.33,60.0,56.0,4.53,4.56,2.72,6.877,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,62.9,56.0,4.36,4.39,2.75,6.554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.27,61.8,57.0,4.16,4.12,2.56,6.683,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.63,61.1,56.0,5.52,5.58,3.39,7.484,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.31,61.4,56.0,4.34,4.37,2.67,6.353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.53,62.0,55.0,5.2,5.15,3.21,7.554,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.7,62.2,57.0,5.67,5.72,3.54,7.671,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.74,62.4,58.0,5.71,5.76,3.58,7.794,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.29,62.8,58.0,6.89,6.93,4.34,8.727,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.71,62.0,55.0,5.71,5.76,3.56,8.087,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,62.3,57.0,4.38,4.41,2.74,6.23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.52,61.6,56.0,5.18,5.22,3.2,7.451,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.42,59.3,59.0,4.9,4.92,2.91,7.072,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.06,61.7,62.0,6.54,6.5,4.02,8.445,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.58,62.3,53.0,5.38,5.4,3.36,7.365,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.5,56.7,63.0,7.52,7.57,4.28,8.976,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,62.0,55.0,4.33,4.35,2.69,6.76,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,65.3,56.0,6.28,6.25,4.09,8.671,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
